area_sqmi,wd_upstream_mgd,ps_upstream_mgd,Qreach,Qlake,imp_off,wd_mgd,ps_mgd,ps_trib_mgd,wd_trib_mgd,name,description,objectname,componentid,subshedid,dt,month,day,year,thisdate,time,timestamp,run_mode,week,Listen on Parent,Send to Children,Send to Parent,Listen to Children,Qout,ps_cumulative_mgd,wd_cumulative_mgd
"1460.05224235","5.95499653173","60.9453833332","1458.82581723","1458.82581723","1","0","0.00383333333333","0","0",,"","",0,"","","3","18","1984","1984-03-18","","448434000","2","11","0","0","0","0","1458.82581723","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1482.82201451","1482.82201451","1","0","0.00383333333333","0","0",,"","",0,"","","3","19","1984","1984-03-19","","448520400","2","12","0","0","0","0","1482.82201451","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1519.07392291","1519.07392291","1","0","0.00383333333333","0","0",,"","",0,"","","3","20","1984","1984-03-20","","448606800","2","12","0","0","0","0","1519.07392291","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","2964.87944064","2964.87944064","1","0","0.00383333333333","0","0",,"","",0,"","","3","21","1984","1984-03-21","","448693200","2","12","0","0","0","0","2964.87944064","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","6993.27536793","6993.27536793","1","0","0.00383333333333","0","0",,"","",0,"","","3","22","1984","1984-03-22","","448779600","2","12","0","0","0","0","6993.27536793","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","8965.95492515","8965.95492515","1","0","0.00383333333333","0","0",,"","",0,"","","3","23","1984","1984-03-23","","448866000","2","12","0","0","0","0","8965.95492515","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","6728.43753829","6728.43753829","1","0","0.00383333333333","0","0",,"","",0,"","","3","24","1984","1984-03-24","","448952400","2","12","0","0","0","0","6728.43753829","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","4189.37814144","4189.37814144","1","0","0.00383333333333","0","0",,"","",0,"","","3","25","1984","1984-03-25","","449038800","2","12","0","0","0","0","4189.37814144","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","2953.51677588","2953.51677588","1","0","0.00383333333333","0","0",,"","",0,"","","3","26","1984","1984-03-26","","449125200","2","13","0","0","0","0","2953.51677588","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","2689.43994532","2689.43994532","1","0","0.00383333333333","0","0",,"","",0,"","","3","27","1984","1984-03-27","","449211600","2","13","0","0","0","0","2689.43994532","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","2781.83153461","2781.83153461","1","0","0.00383333333333","0","0",,"","",0,"","","3","28","1984","1984-03-28","","449298000","2","13","0","0","0","0","2781.83153461","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","4061.83014883","4061.83014883","1","0","0.00383333333333","0","0",,"","",0,"","","3","29","1984","1984-03-29","","449384400","2","13","0","0","0","0","4061.83014883","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","5878.59422059","5878.59422059","1","0","0.00383333333333","0","0",,"","",0,"","","3","30","1984","1984-03-30","","449470800","2","13","0","0","0","0","5878.59422059","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","5356.14492445","5356.14492445","1","0","0.00383333333333","0","0",,"","",0,"","","3","31","1984","1984-03-31","","449557200","2","13","0","0","0","0","5356.14492445","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","59.47095","3826.77696508","3826.77696508","1","0","0.00423333333333","0","0",,"","",0,"","","4","1","1984","1984-04-01","","449643600","2","13","0","0","0","0","3826.77696508","59.4751833333","5.95499653173"
"1460.05224235","5.904999735","59.47095","3025.08160244","3025.08160244","1","0","0.00423333333333","0","0",,"","",0,"","","4","2","1984","1984-04-02","","449730000","2","14","0","0","0","0","3025.08160244","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2575.21042441","2575.21042441","1","0","0.00423333333333","0","0",,"","",0,"","","4","3","1984","1984-04-03","","449816400","2","14","0","0","0","0","2575.21042441","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2287.51829978","2287.51829978","1","0","0.00423333333333","0","0",,"","",0,"","","4","4","1984","1984-04-04","","449902800","2","14","0","0","0","0","2287.51829978","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2843.66462475","2843.66462475","1","0","0.00423333333333","0","0",,"","",0,"","","4","5","1984","1984-04-05","","449989200","2","14","0","0","0","0","2843.66462475","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","4278.07911031","4278.07911031","1","0","0.00423333333333","0","0",,"","",0,"","","4","6","1984","1984-04-06","","450075600","2","14","0","0","0","0","4278.07911031","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","4940.67085841","4940.67085841","1","0","0.00423333333333","0","0",,"","",0,"","","4","7","1984","1984-04-07","","450162000","2","14","0","0","0","0","4940.67085841","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","4309.73560784","4309.73560784","1","0","0.00423333333333","0","0",,"","",0,"","","4","8","1984","1984-04-08","","450248400","2","14","0","0","0","0","4309.73560784","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","3310.02345076","3310.02345076","1","0","0.00423333333333","0","0",,"","",0,"","","4","9","1984","1984-04-09","","450334800","2","15","0","0","0","0","3310.02345076","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2646.72746742","2646.72746742","1","0","0.00423333333333","0","0",,"","",0,"","","4","10","1984","1984-04-10","","450421200","2","15","0","0","0","0","2646.72746742","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2362.64942061","2362.64942061","1","0","0.00423333333333","0","0",,"","",0,"","","4","11","1984","1984-04-11","","450507600","2","15","0","0","0","0","2362.64942061","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2202.78153881","2202.78153881","1","0","0.00423333333333","0","0",,"","",0,"","","4","12","1984","1984-04-12","","450594000","2","15","0","0","0","0","2202.78153881","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2062.29125951","2062.29125951","1","0","0.00423333333333","0","0",,"","",0,"","","4","13","1984","1984-04-13","","450680400","2","15","0","0","0","0","2062.29125951","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","1943.07409672","1943.07409672","1","0","0.00423333333333","0","0",,"","",0,"","","4","14","1984","1984-04-14","","450766800","2","15","0","0","0","0","1943.07409672","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2014.94600677","2014.94600677","1","0","0.00423333333333","0","0",,"","",0,"","","4","15","1984","1984-04-15","","450853200","2","15","0","0","0","0","2014.94600677","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2452.60775901","2452.60775901","1","0","0.00423333333333","0","0",,"","",0,"","","4","16","1984","1984-04-16","","450939600","2","16","0","0","0","0","2452.60775901","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2993.22664508","2993.22664508","1","0","0.00423333333333","0","0",,"","",0,"","","4","17","1984","1984-04-17","","451026000","2","16","0","0","0","0","2993.22664508","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","3133.97960459","3133.97960459","1","0","0.00423333333333","0","0",,"","",0,"","","4","18","1984","1984-04-18","","451112400","2","16","0","0","0","0","3133.97960459","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2853.19360143","2853.19360143","1","0","0.00423333333333","0","0",,"","",0,"","","4","19","1984","1984-04-19","","451198800","2","16","0","0","0","0","2853.19360143","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2489.70374648","2489.70374648","1","0","0.00423333333333","0","0",,"","",0,"","","4","20","1984","1984-04-20","","451285200","2","16","0","0","0","0","2489.70374648","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2204.77153862","2204.77153862","1","0","0.00423333333333","0","0",,"","",0,"","","4","21","1984","1984-04-21","","451371600","2","16","0","0","0","0","2204.77153862","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2103.0735855","2103.0735855","1","0","0.00423333333333","0","0",,"","",0,"","","4","22","1984","1984-04-22","","451458000","2","16","0","0","0","0","2103.0735855","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2966.20373483","2966.20373483","1","0","0.00423333333333","0","0",,"","",0,"","","4","23","1984","1984-04-23","","451544400","2","17","0","0","0","0","2966.20373483","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","4665.66247978","4665.66247978","1","0","0.00423333333333","0","0",,"","",0,"","","4","24","1984","1984-04-24","","451630800","2","17","0","0","0","0","4665.66247978","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","4998.57220158","4998.57220158","1","0","0.00423333333333","0","0",,"","",0,"","","4","25","1984","1984-04-25","","451717200","2","17","0","0","0","0","4998.57220158","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","4054.65832561","4054.65832561","1","0","0.00423333333333","0","0",,"","",0,"","","4","26","1984","1984-04-26","","451803600","2","17","0","0","0","0","4054.65832561","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","3216.38424148","3216.38424148","1","0","0.00423333333333","0","0",,"","",0,"","","4","27","1984","1984-04-27","","451890000","2","17","0","0","0","0","3216.38424148","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2632.19927877","2632.19927877","1","0","0.00423333333333","0","0",,"","",0,"","","4","28","1984","1984-04-28","","451976400","2","17","0","0","0","0","2632.19927877","59.4751833333","5.904999735"
"1460.05224235","5.904999735","59.47095","2357.48666133","2357.48666133","1","0","0.00423333333333","0","0",,"","",0,"","","4","29","1984","1984-04-29","","452062800","2","17","0","0","0","0","2357.48666133","59.4751833333","5.904999735"
